GENE	Sample1
DDX11	623
DDX17	23971
DDX18	1468
DDX19A	1286
DDX19B	275
DDX1	1532
DDX20	577
DDX21	3629
DDX23	2267
DDX24	2091
DDX25	5
DDX26B	341
DDX27	763
DDX28	106
DDX31	683
DDX39A	556
DDX3X	11091
DDX3Y	45
DDX41	764
DDX42	3396
DDX43	46
DDX46	2271
DDX47	677
DDX49	488
DDX4	2
DDX50	1575
DDX51	804
DDX52	910
DDX53	0
DDX54	915
DDX55	819
DDX56	779
DDX58	2160
DDX59	1090
DDX5	20427
DDX60L	1516
DDX60	1630
DDX6	7512
DEAF1	392
DEC1	7
DECR1	601
DECR2	485
DEDD2	382
DEDD	525
DEF6	353
DEF8	462
DEFA1	10
DEFA4	0
DEFA5	0
DEFA6	0
DEFB103A	0
DEFB104A	0
DEFB105A	0
DEFB106A	0
DEFB107A	0
DEFB108B	4
DEFB109P1B	46
DEFB110	0
DEFB112	0
DEFB113	0
DEFB114	0
DEFB115	0
DEFB116	0
DEFB118	0
DEFB119	0
DEFB121	0
DEFB122	5
DEFB123	0
DEFB124	0
DEFB125	0
DEFB126	1
DEFB127	0
DEFB128	0
DEFB129	0
DEFB130	19
DEFB131	4
DEFB132	0
DEFB134	0
DEFB135	0
DEFB136	0
DEFB1	1
DEFB4A	0
DEGS1	2461
DEGS2	397
DEK	1812
EXO5	236
DENND1A	1056
DENND1B	2373
DENND1C	212
DENND2A	584
DENND2C	72
DENND2D	1299
DENND3	780
DENND4A	1800
DENND4B	940
DENND4C	4197
DENND5A	2156
DENND5B	1172
DENR	1691
DEPDC1B	153
DEPDC1	430
DEPDC4	16
DEPDC5	640
DEPTOR	2568
DEPDC7	8
DERA	488
DERL1	1739
DERL2	510
DERL3	43
DES	905
DET1	130
DEXI	618
DFFA	1015
DFFB	480
DFNA5	76
DFNB31	563
DFNB59	122
DGAT1	569
DGAT2L6	2
DGAT2	245
DGCR11	370
DGCR14	245
DGCR2	1983
DGCR5	79
DGCR6L	890
DGCR6	356
DGCR8	942
DGCR9	62
DGKA	398
DGKB	82
DGKD	2628
DGKE	833
DGKG	34
DGKH	1756
DGKI	39
DGKK	1
DGKQ	522
DGKZ	1406
DGUOK	334
DHCR24	9946
DHCR7	281
DHDDS	621
DHDH	2
HOGA1	216
DHFRL1	382
DHFR	1154
DHH	4
DHODH	227
DHPS	565
DHRS11	89
DHRS12	242
DHRS13	240
DHRS1	1100
DHRS2	189
DHRS3	725
DHRS4	864
DHRS4L2	698
DHRS7B	305
DHRS7C	0
DHRS7	715
DHRS9	24
DHRSX	661
DHTKD1	2127
DHX15	5072
DHX16	692
DHX29	2433
DHX30	1661
DHX32	2104
DHX33	657
DHX34	612
DHX35	469
DHX36	1649
DHX37	535
DHX38	593
DHX40	1578
DHX57	1147
DHX58	347
DHX8	1554
DHX9	5906
DIABLO	405
DIAPH1	5224
DIAPH2	677
DIAPH3	198
DICER1	9008
DIDO1	4012
DIMT1	439
DIO1	29
DIO2	392
DIO3	72
DIP2A	2413
DIP2B	4270
DIP2C	1269
DIRAS1	85
DIRAS2	8
DIRAS3	37
DIRC1	134
DIRC2	417
DIS3L2	1116
DIS3L	1226
DIS3	2192
DISC1	1284
DISP1	674
DISP2	76
DIXDC1	1002
DKC1	677
LINC01011	106
NCR3LG1	193
AP5B1	2357
DKK1	5
DKK2	77
DKK3	336
DKK4	1
DKKL1	15
DLAT	384
DLC1	1833
DLD	1372
DLEC1	48
DLEU7	11
DLG1	3957
DLG2	88
DLG3	2100
DLG4	446
DLG5	4250
DLGAP1	13
DLGAP2	10
DLGAP3	11
DLGAP4	926
DLGAP5	138
DLK1	0
DLK2	14
DLL1	120
DLL3	0
DLL4	520
DLST	1848
DLX1	3
DLX2	4
DLX3	21
DLX4	4
DLX5	6
DLX6	3
DMAP1	285
DMBT1	9
DMBX1	46
DMC1	243
DMD	935
DMGDH	83
DMKN	18
DMP1	2
DMPK	408
DMRT1	31
DMRT2	33
DMRT3	29
DMRTA1	133
DMRTA2	0
DMRTB1	0
DMRTC1B	16
DMRTC1	16
DMRTC2	4
DMTF1	3271
DMWD	444
DMXL1	5298
DMXL2	3846
DNA2	879
DNAH10	542
DNAH11	1818
DNAH12	421
DNAH14	6763
DNAH17	80
DNAH1	436
DNAH2	316
DNAH3	132
DNAH5	8043
DNAH6	887
DNAH7	1315
DNAH8	168
DNAH9	968
DNAI1	92
DNAI2	1
DNAJA1	3094
DNAJA2	654
DNAJA3	1357
DNAJA4	2978
DNAJB11	749
DNAJB12	791
DNAJB13	73
DNAJB14	2023
DNAJB1	3054
DNAJB2	1615
DNAJB4	655
DNAJB5	153
DNAJB6	3601
DNAJB7	90
DNAJB8	0
DNAJB9	889
DNAJC10	4610
DNAJC11	769
DNAJC12	165
DNAJC13	3584
DNAJC14	1262
DNAJC15	508
DNAJC16	2062
DNAJC17	233
DNAJC18	798
DNAJC19	421
DNAJC1	1711
DNAJC21	2851
DNAJC22	261
DNAJC24	1150
DNAJC25-GNG10	58
DNAJC25	376
DNAJC27	420
DNAJC28	78
DNAJC2	1091
DNAJC30	183
DNAJC3	4666
DNAJC4	186
DNAJC5B	43
DNAJC5G	19
DNAJC5	1273
DNAJC6	72
DNAJC7	930
DNAJC8	1056
DNAJC9	1397
DNAL1	1522
DNAL4	414
DNALI1	248
DNASE1L1	255
DNASE1L2	106
DNASE1L3	106
DNASE1	903
DNASE2B	0
DNASE2	495
DND1	395
DNER	22
DNHD1	878
DNLZ	70
DNM1L	2667
DNM1	293
DNM2	2372
DNM3	498
DNMBP	1424
DNMT1	2180
DNMT3A	764
DNMT3B	127
DNMT3L	4
DNPEP	1432
DNTTIP1	194
DNTTIP2	886
DNTT	0
DOC2A	103
DOC2B	50
DOCK10	1509
DOCK11	816
DOCK1	5708
DOCK2	513
DOCK3	42
DOCK4	1254
DOCK5	1467
DOCK6	506
DOCK7	1935
DOCK8	1715
DOCK9	5605
DOHH	133
DOK1	123
DOK2	14
DOK3	173
DOK4	123
DOK5	15
DOK6	275
DOK7	22
DOLK	167
DOLPP1	319
DXO	236
DONSON	587
DOPEY1	2648
DOPEY2	3722
DOT1L	847
DPAGT1	246
DPCD	90
DPCR1	0
DPEP1	1
DPEP2	49
DPEP3	1
DPF1	8
DPF2	320
DPF3	127
DPH1	959
DPH2	325
DPH3	391
DPH5	791
DPM1	381
DPM2	259
DPM3	126
DPP10	3
DPP3	3793
DPP4	57
DPP6	41
DPP7	898
DPP8	1512
DPP9	1116
DPPA2	10
DPPA3	0
DPPA4	90
DPPA5	0
DPRX	0
DPT	2459
DPY19L1	515
DPY19L2P2	1598
DPY19L2P4	113
DPY19L2	108
DPY19L3	2869
DPY19L4	2002
DPY30	239
DPYD	1651
DPYSL2	3183
DPYSL3	1326
DPYSL4	13
DPYSL5	120
DPYS	0
DQX1	185
DR1	1304
DRAM1	939
DRAM2	876
DRAP1	207
DRD1	7
DRD2	6
DRD3	0
DRD4	9
DRD5	0
DRG1	486
DRG2	318
DRGX	0
DRP2	24
DSC1	62
DSC2	1894
DSC3	83
DSCAML1	11
DSCAM	2
DSCC1	59
DSCR10	0
DSCR3	1362
DSCR4	0
RIPPLY3	243
DSCR8	4
DSCR9	15
DSEL	898
DSE	1441
DSG1	0
DSG2	2890
DSG3	65
DSG4	0
DSN1	505
DSPP	4
DSP	19771
DSTN	2669
DSTYK	2140
DST	17940
DTD1	198
DTHD1	35
DTL	288
DTNA	962
DTNBP1	297
DTNB	1182
DTWD1	922
DTWD2	1240
DTX1	69
DTX2	1151
DTX3L	5471
DTX3	291
DTX4	208
DTYMK	384
CTDNEP1	1234
DUOX1	271
DUOX2	16
DUOXA1	7
DUOXA2	0
DUPD1	0
DUS1L	791
DUS2	99
DUS3L	303
DUS4L	139
DUSP10	1064
DUSP11	467
DUSP12	526
DUSP13	1
DUSP14	107
DUSP15	5
DUSP16	3667
DUSP18	363
DUSP19	365
DUSP1	2401
DUSP21	0
DUSP22	1097
DUSP23	383
DUSP26	2
DUSP27	2
DUSP28	805
DUSP2	47
DUSP3	2259
DUSP4	10447
DUSP5	460
DUSP6	3465
DUSP7	168
DUSP8	433
DUSP9	6
DUT	724
DUXA	268
DVL1	719
DVL2	566
DVL3	1664
COL6A4P1	0
DYDC1	52
DYDC2	21
DYM	1119
DYNC1H1	16212
DYNC1I1	40
DYNC1I2	3585
DYNC1LI1	1289
DYNC1LI2	2162
DYNC2H1	2392
DYNC2LI1	1061
DYNLL1	905
DYNLL2	896
DYNLRB1	348
DYNLRB2	23
DYNLT1	510
DYNLT3	466
DYRK1A	3181
DYRK1B	249
DYRK2	889
DYRK3	137
DYRK4	267
PPP1R27	31
DYSF	327
DYTN	0
DYX1C1	217
DZIP1L	161
DZIP1	503
DZIP3	2663
E2F1	88
E2F2	160
E2F3	624
E2F4	506
E2F5	145
E2F6	1361
E2F7	107
E2F8	51
E4F1	800
EAF1	1310
EAF2	109
EAPP	348
EARS2	1432
EBAG9	256
EBF1	440
EBF2	191
EBF3	381
EBF4	497
EBI3	28
EBNA1BP2	639
EBPL	429
EBP	225
ECD	806
ECE1	3607
ECE2	111
ECEL1	4
ECH1	845
ECHDC1	175
ECHDC2	1382
ECHDC3	103
ECHS1	738
ECM1	867
ECM2	687
ECSCR	144
ECSIT	350
ECT2L	216
ECT2	1864
EDA2R	167
EDARADD	39
EDAR	1
EDA	64
EDC3	703
EDC4	793
EDDM3A	0
EDDM3B	1
EDEM1	3351
EDEM2	703
EDEM3	7642
EDF1	1168
EDIL3	70
EDN1	59
EDN2	58
EDN3	0
EDNRA	213
EDNRB	670
EEA1	2720
EED	388
EEF1A1	548859
EEF1A2	372
EEF1B2	5569
EEF1D	4202
EEF1E1	162
EEF1G	17065
EEF2K	3475
EEF2	29049
EEFSEC	270
EEPD1	68
EFCAB1	77
EFCAB2	737
EFCAB3	126
CRACR2B	2072
CRACR2A	315
EFCAB5	80
EFCAB6	403
EFCAB7	335
EFEMP1	1651
EFEMP2	227
MICU2	817
MICU3	168
EFHB	61
EFHC1	1588
EFHC2	159
EFHD1	1682
EFHD2	388
EFNA1	8349
EFNA2	0
EFNA3	202
EFNA4	397
EFNA5	699
EFNB1	291
EFNB2	728
EFNB3	7
EFR3A	3164
EFR3B	354
EFS	857
EFTUD1	986
EFTUD2	1313
EGFL6	6
EGFL7	920
EGFL8	110
EGFLAM	143
EGFR	670
EGF	550
EGLN1	3500
EGLN2	1128
EGLN3	2161
EGOT	282
EGR1	1065
EGR2	62
EGR3	43
EGR4	2
EHBP1L1	727
EHBP1	1240
EHD1	400
EHD2	738
EHD3	378
EHD4	1040
EHF	4440
EHHADH	317
EHMT1	2482
EHMT2	893
EI24	2210
EID1	1379
EID2B	84
EID2	97
EID3	107
EIF1AD	528
EIF1AX	5341
EIF1AY	2
EIF1B	247
EIF1	3351
EIF2AK1	1200
EIF2AK2	1322
EIF2AK3	3489
EIF2AK4	2588
EIF2A	1704
EIF2B1	632
EIF2B2	208
EIF2B3	427
EIF2B4	745
EIF2B5	1211
AGO1	1267
AGO2	1005
AGO3	1398
AGO4	1486
EIF2S1	1087
EIF2S2	2226
EIF2S3	5511
EIF3A	4388
EIF3B	1404
EIF3C	8306
EIF3D	2354
EIF3E	3823
EIF3F	2805
EIF3G	1363
EIF3H	1253
EIF3IP1	5
EIF3I	1570
EIF3J	1344
EIF3K	1106
EIF3L	3476
EIF3M	971
EIF4A1	7680
EIF4A2	9973
EIF4A3	680
EIF4B	21371
EIF4E1B	0
EIF4E2	1200
EIF4E3	796
EIF4EBP1	255
EIF4EBP2	4274
EIF4EBP3	87
EIF4ENIF1	751
EIF4E	2176
EIF4G1	7528
EIF4G2	13235
EIF4G3	2930
EIF4H	6817
EIF5A2	215
EIF5AL1	210
EIF5A	3678
EIF5B	1090
EIF5	4304
EIF6	664
ELAC1	211
ELAC2	1436
ELANE	6
ELAVL1	1240
ELAVL2	343
ELAVL3	3
ELAVL4	0
ELF1	3140
ELF2	3913
ELF3	4508
ELF4	367
ELF5	36
ELFN1	71
ELFN2	4
ELK1	454
ELK3	423
ELK4	672
ELL2	2671
ELL3	337
ELL	661
ELMO1	395
ELMO2	1621
ELMO3	168
ELMOD1	100
ELMOD2	541
ELMOD3	668
ELN	1100
ELOF1	470
ELOVL1	495
ELOVL2	220
ELOVL3	1
ELOVL4	10
ELOVL5	4404
ELOVL6	206
ELOVL7	581
ELP2	6765
ELP3	1003
ELP4	717
ELSPBP1	0
ADGRL4	1057
EMB	1340
EMCN	428
EMD	360
EME1	59
EME2	148
EMG1	415
EMID1	150
COL26A1	0
EMILIN1	1411
EMILIN2	171
EMILIN3	13
EML1	575
EML2	547
EML3	676
EML4	2802
EML5	464
EML6	333
EMP1	4054
EMP2	5180
EMP3	55
ADGRE1	11
ADGRE2	305
ADGRE3	1
ADGRE4P	38
EMX1	0
EMX2OS	504
EMX2	71
EN1	396
EN2	6
ENAH	10280
ENAM	4
ENC1	1659
ENDOD1	1212
ENDOG	101
ENDOU	24
ENGASE	704
ENG	2227
ENHO	4
ENKUR	24
ENO1	3628
ENO2	176
ENO3	76
ENOPH1	501
ENOSF1	1426
ENOX1	145
ENOX2	482
ENPEP	92
ENPP1	8757
ENPP2	201
ENPP3	228
ENPP4	1514
ENPP5	1649
ENPP6	73
ENPP7	0
ENSA	7219
ENTHD1	2
ENTPD1	4167
ENTPD2	130
ENTPD3	133
ENTPD4	2093
ENTPD5	895
ENTPD6	1283
ENTPD7	2241
ENTPD8	37
ENY2	317
EOMES	16
EP300	5292
EP400	2592
EPAS1	6418
EPB41L1	623
EPB41L2	1886
EPB41L3	1042
EPB41L4A	2520
EPB41L4B	662
EPB41L5	1041
EPB41	1717
EPB42	6
DMTN	136
EPC1	1620
EPC2	1173
EPCAM	1332
EPDR1	123
EPGN	27
EPHA10	292
EPHA1	336
EPHA2	318
EPHA3	1365
EPHA4	235
EPHA5	13
EPHA6	27
EPHA7	24
EPHA8	1
EPHB1	37
EPHB2	205
EPHB3	3472
EPHB4	1895
EPHB6	142
EPHX1	1555
EPHX2	742
EPHX3	2
EPHX4	4
EPM2AIP1	1542
EPM2A	160
EPN1	868
EPN2	1052
EPN3	285
EPOR	70
EPO	0
EPPK1	6669
EPRS	6062
EPS15L1	836
EPS15	3640
EPS8L1	681
EPS8L2	1628
EPS8L3	22
EPS8	3116
EPSTI1	113
EPT1	1933
EPX	13
EPYC	1
ERAL1	675
ERAP1	2557
ERAP2	412
ERAS	2
ERBB2IP	9465
ERBB2	9962
ERBB3	7640
ERBB4	3349
ERC1	3116
ERC2	146
ERCC1	598
ERCC2	193
ERCC3	659
ERCC4	1487
ERCC5	1746
ERCC6L	242
ERCC6	983
ERCC8	602
EREG	268
ERF	548
ERGIC1	7479
ERGIC2	1131
ERGIC3	3006
ERG	538
ERH	672
ERI1	966
ERI2	1374
ERI3	583
ERICH1	378
ERLEC1	1805
ERLIN1	977
ERLIN2	2284
ERMAP	587
ERMN	18
ERMP1	2858
ERN1	638
ERN2	304
ERO1B	767
ERO1A	2183
ERP27	293
ERP29	846
ERP44	1393
ERRFI1	770
ERVFRD-1	104
ESAM	279
ESCO1	1403
ESCO2	925
ESD	788
ESF1	774
ESM1	1
ESPL1	144
ESPNL	20
ESPNP	61
ESPN	356
ESR1	11022
ESR2	179
ESRP1	2283
ESRP2	690
ESRRA	290
ESRRB	8
ESRRG	1725
ESX1	0
ESYT1	1939
ESYT2	4789
ESYT3	77
ETAA1	804
ETF1	4257
ETFA	972
ETFB	247
ETFDH	633
ETHE1	141
ETNK1	5769
ETNK2	293
ETS1	1820
ETS2	3999
ETV1	79
ETV2	13
ETV3L	0
ETV3	434
ETV4	101
ETV5	241
ETV6	2347
ETV7	58
EVC2	142
EVC	805
EVI2A	179
EVI2B	191
EVI5L	301
EVI5	2413
EVL	6339
EVPLL	17
EVPL	486
EVX1	2
EVX2	0
EWSR1	4136
EXD1	161
EXD2	725
EXD3	560
EXO1	139
EXOC1	1335
EXOC2	2087
EXOC3L2	120
EXOC3L1	58
EXOC3	1145
EXOC4	2331
EXOC5	2746
EXOC6B	1203
EXOC6	973
EXOC7	2755
EXOC8	1916
EXOG	254
EXOSC10	1557
EXOSC1	214
EXOSC2	741
EXOSC3	447
EXOSC4	108
EXOSC5	107
EXOSC6	3144
EXOSC7	296
EXOSC8	206
EXOSC9	334
EXPH5	1337
EXT1	783
EXT2	885
EXTL1	19
EXTL2	166
EXTL3	947
EYA1	115
EYA2	27
EYA3	489
EYA4	27
EYS	199
EZH1	1182
EZH2	709
EZR	3230
F10	96
F11R	8056
F11	0
F12	212
F13A1	705
F13B	0
F2RL1	355
F2RL2	136
F2RL3	654
F2R	1536
F2	3
F3	1858
F5	2086
F7	143
F8A1	249
F8	1042
F9	0
FA2H	66
FAAH2	929
FAAH	438
FABP12	0
FABP1	1
FABP2	65
FABP3	56
FABP4	454
FABP5	408
FABP6	3
FABP7	57
FABP9	0
FADD	881
FADS1	299
FADS2	262
FADS3	166
FADS6	135
FAF1	991
FAF2	2325
FAHD1	345
FAHD2A	226
FAHD2B	435
FAH	1347
FAIM2	560
FCMR	58
FAIM	246
UBALD1	415
UBALD2	324
FAM101A	14
FAM101B	425
FAM102A	1556
FAM102B	888
FAM103A1	530
FAM104A	552
FAM104B	115
FAM105A	234
OTULIN	2176
FAM107A	304
FAM107B	1370
ABHD17A	2447
ABHD17B	821
ABHD17C	1398
FAM109A	179
FAM109B	366
FAM110A	458
FAM110B	421
FAM110C	103
FAM111A	2683
FAM111B	724
PCED1A	381
PCED1B	559
FAM114A1	2179
FAM114A2	947
TCAF1	3762
TCAF2	3743
DENND6A	1622
DENND6B	199
FAM117A	94
FAM117B	778
FAM118A	456
FAM118B	189
METTL21A	3412
METTL21B	523
FAM120AOS	1531
FAM120A	8495
FAM120B	2015
FAM120C	1103
FAM122B	1200
FAM122C	973
AMER2	0
AMER1	337
AMER3	204
FAM124A	45
FAM124B	27
MVB12A	200
MVB12B	313
FAM126A	856
FAM126B	1583
FAM127A	57
FAM127B	95
FAM127C	225
MZT2A	339
MZT2B	718
FAM129A	6372
FAM129B	3873
FAM129C	932
FAM131A	895
FAM131B	22
FAM131C	2
FAM132A	4
FAM133A	1
FAM133B	4190
FAM134A	1814
FAM134B	399
FAM134C	2303
FAM135A	909
FAM135B	45
FAM136A	417
FAM138B	0
FAM138D	0
FAM138E	0
FAM138A	179
FAM13A-AS1	265
FAM13A	1098
FAM13B	3042
FAM13C	133
FAM149A	57
FAM149B1	711
FAM150A	0
FAM150B	78
FAM151A	0
FAM151B	410
FAM153A	321
FAM153B	127
SAXO1	4
SAXO2	188
FAM155A	7
FAM155B	33
FAM156A	1823
EMC9	67
FAM159A	123
FAM160A1	714
FAM160A2	998
FAM160B1	1785
FAM160B2	1478
FAM161A	519
FAM161B	351
FAM162A	408
FAM162B	17
FAM163A	97
FAM163B	0
ZC2HC1A	676
ZC2HC1C	64
SMIM11A	282
FAM166A	5
FAM166B	25
FAM167A	328
FAM167B	47
FAM168A	268
FAM168B	1648
FAM169A	743
FAM169B	26
FAM170A	8
FAM170B	0
FAM171A1	487
FAM171A2	6
FAM171B	265
FAM172A	1537
FAM173A	227
FAM173B	1034
FAM174A	337
FAM174B	1642
FAM175A	479
FAM175B	418
EVA1A	11
EVA1B	826
FAM177A1	1276
FAM177B	2410
SLF2	3814
FAM178B	0
FAM179A	41
FAM179B	1868
FAM180A	34
FAM180B	99
FAM181A	0
FAM181B	1
FAM182A	0
FAM182B	116
FAM183A	29
FAM183BP	0
FAM184A	274
FAM184B	249
FAM185A	1046
FAM186A	148
FAM186B	65
FAM187B	0
FAM188A	959
FAM188B	341
FAM189A1	10
FAM189A2	271
FAM189B	1289
TVP23A	180
TVP23C	2115
TVP23B	2406
CCSER1	2222
CCSER2	1300
FAM192A	574
FAM193A	1351
FAM193B	1222
ERICH6	6
ERICH6B	0
FAM195A	499
FAM195B	500
FAM196A	764
FAM196B	37
FAM197Y5P	0
FAM198A	1804
FAM198B	8683
FAM199X	1188
FAM19A1	4
FAM19A2	31
FAM19A3	1
FAM19A4	0
FAM19A5	1
FAM200A	239
FAM200B	785
FAM20A	383
FAM20B	4322
FAM20C	520
FAM21A	632
FAM21C	1618
NUTM2A	298
NUTM2F	64
NUTM2G	335
TMEM236	415
FAM24A	0
FAM24B	18
FAM25A	0
FAM26D	0
FAM26E	83
FAM26F	29
FAM32A	688
FAM35A	2250
FAM35BP	369
COX20	385
PIEZO1	1602
PIEZO2	141
FAM3A	539
FAM3B	41
FAM3C	2037
FAM3D	77
STRIP1	729
STRIP2	1243
FAM41C	369
FAM43A	117
FAM43B	18
FAM45A	575
FAM46A	2385
FAM46B	297
FAM46C	1107
FAM46D	0
FAM47A	9
FAM47B	0
FAM47C	0
FAM47E	515
SUPT20H	1941
FAM49A	99
FAM49B	691
FAM50A	502
FAM50B	81
FAM53A	73
FAM53B	640
FAM53C	1053
MTFR2	29
MTFR1L	1202
NXPE1	25
NXPE2	2
NXPE3	891
NXPE4	19
FAM57A	150
FAM57B	5
FAM58A	285
GAREM1	365
BRINP2	17
BRINP3	67
FAM60A	878
FAM63A	951
FAM63B	2038
FAM64A	73
FAM65A	488
FAM65B	243
FAM65C	737
FAM66E	102
FAM69A	143
FAM69B	223
FAM69C	95
TMEM255A	19
TMEM255B	70
FAM71A	0
FAM71B	0
FAM71C	34
FAM71D	6
FAM71E1	12
FAM71E2	0
FAM71F1	6
FAM71F2	58
FAM72A	400
FAM72B	31
FAM73A	1923
FAM73B	471
FAM74A1	50
FAM74A4	4
SPATA31A3	0
SPATA31A5	0
SPATA31A6	0
FAM76A	519
FAM76B	508
FAM78A	103
FAM78B	42
ULK4P1	38
ULK4P3	51
FAM81A	38
FAM81B	3
RMDN2	212
RMDN3	601
RMDN1	1412
FAM83A	66
FAM83B	872
FAM83C	33
FAM83D	741
FAM83E	663
FAM83F	355
FAM83G	154
FAM83H	1431
FAM84A	192
FAM84B	6221
EEF2KMT	430
FAM86B1	355
FAM86B2	88
FAM86C1	181
FAM86DP	359
FAM89A	154
FAM89B	210
FAM8A1	1237
FAM90A1	68
FAM90A17P	11
FAM91A1	5057
FAM92A1	317
FAM92A1P2	295
FAM92B	106
FAM95B1	565
FAM96A	478
FAM96B	157
FAM98A	923
FAM98B	211
FAM98C	138
FAM99A	0
FAM99B	0
FAM9A	1
FAM9B	14
FAM9C	26
FANCA	152
FANCB	113
FANCC	706
FANCD2	1123
FANCE	108
FANCF	505
FANCG	263
FANCI	1040
FANCL	315
FANCM	702
FANK1	2440
FAP	694
FAR1	3863
FAR2	140
FARP1	5926
FARP2	806
FARS2	399
FARSA	439
FARSB	1064
FASLG	52
FASN	17204
FASTKD1	513
FASTKD2	2207
FASTKD3	369
FASTKD5	417
FASTK	697
FAS	1083
FAT1	14202
FAT2	22
FAT3	241
FAT4	1290
FATE1	1
FAU	1766
FBF1	344
FBLIM1	2265
FBLN1	4151
FBLN2	3104
FBLN5	1487
FBLN7	50
FBL	852
FBN1	5504
FBN2	47
FBN3	2
FBP1	524
FBP2	2
FBRSL1	510
FBRS	901
FBXL12	214
FBXL13	261
FBXL14	608
FBXL15	82
FBXL16	127
FBXL17	1567
FBXL18	1779
FBXL19	692
FBXL20	491
FBXL22	58
FBXL2	505
FBXL3	3512
FBXL4	1222
FBXL5	3387
FBXL6	226
FBXL7	231
FBXL8	250
FBXO10	106
FBXO11	2323
FBXO15	2488
FBXO16	53
FBXO17	553
FBXO18	1787
FBXO21	1525
FBXO22	795
FBXO24	210
FBXO25	546
FBXO27	549
FBXO28	2208
FBXO2	42
FBXO30	868
FBXO31	462
FBXO32	292
FBXO33	636
FBXO34	1334
FBXO36	635
FBXO38	1855
FBXO39	4
FBXO3	1199
FBXO40	83
FBXO41	75
FBXO42	1241
FBXO43	96
FBXO44	537
FBXO45	939
FBXO46	363
FBXO47	0
FBXO48	189
FBXO4	383
FBXO5	156
FBXO6	331
FBXO7	2098
FBXO8	367
FBXO9	1662
FBXW10	23
FBXW11	2803
FBXW12	1
FBXW2	4458
FBXW4	710
FBXW5	1209
FBXW7	856
FBXW8	884
FBXW9	138
FCAMR	2
FCAR	569
FCER1A	1
FCER1G	52
FCER2	321
FCF1	1683
FCGBP	2173
FCGR1A	138
FCGR1B	133
FCGR2A	1304
FCGR2B	175
FCGR3A	1011
FCGR3B	10
FCGRT	1083
FCHO1	68
FCHO2	2150
FCHSD1	323
FCHSD2	1188
FCN1	1
FCN2	139
FCN3	101
FCRL1	81
FCRL2	206
FCRL3	9
FCRL4	0
FCRL5	26
FCRL6	36
FCRLA	29
FCRLB	10
FDFT1	2792
FDPS	1379
FDX1L	294
FDX1	374
FDXACB1	162
FDXR	54
FECH	1020
FEM1A	1564
FEM1B	3818
FEM1C	1986
FEN1	192
FER1L5	335
FER1L6	8
FERD3L	0
FERMT1	177
FERMT2	1052
FERMT3	156
FER	2531
FES	194
FETUB	0
FEV	0
FEZ1	304
FEZ2	1175
FEZF1	0
FEZF2	14
FFAR1	0
FFAR2	234
FFAR3	5
FGA	28
FGB	12
FGD1	302
FGD2	381
FGD3	804
FGD4	1633
FGD5	431
FGD6	1470
FGF10	13
FGF11	83
FGF12	31
FGF13	372
FGF14	227
FGF16	0
FGF17	5
FGF18	19
FGF19	0
FGF1	51
FGF20	3
FGF21	0
FGF22	0
FGF23	1541
FGF2	412
FGF3	0
FGF4	0
FGF5	704
FGF6	0
FGF7	5509
FGF8	8
FGF9	8
FGFBP1	0
FGFBP2	11
FGFBP3	19
FGFR1OP2	930
FGFR1OP	879
FGFR1	1617
FGFR2	610
FGFR3	546
FGFR4	332
FGFRL1	668
FGGY	522
FGG	24
FGL1	13
FGL2	651
FGR	109
FHAD1	226
FHDC1	1094
FHIT	246
FHL1	482
FHL2	1684
FHL3	82
FHL5	97
FHOD1	605
FHOD3	49
FH	1143
FIBCD1	34
FIBIN	457
FIBP	446
FICD	217
FIG4	609
FIGF	11
FIGLA	1
FIGNL1	377
FIGN	149
FILIP1L	660
FILIP1	204
FIP1L1	1103
FIS1	645
FITM1	8
FITM2	103
FIZ1	236
FJX1	100
FKBP10	1143
FKBP11	647
FKBP14	778
FKBP15	1478
FKBP1A	2199
FKBP1B	17
FKBP2	261
FKBP3	612
FKBP4	6198
FKBP5	3423
FKBP6	0
FKBP7	258
FKBP8	1777
FKBP9P1	438
FKBP9	1061
FKBPL	81
FKRP	333
FKTN	1135
FLAD1	1162
FLCN	1442
FLG2	80
FLG	332
FLI1	374
FLII	2899
GABPB1	1392
EBLN2	308
ARHGEF40	896
FAM86B3P	271
EPB41L4A-AS2	75
KLF3-AS1	2189
CASC15	71
LINC00905	0
LINC01205	105
SATB2-AS1	0
LINC01184	831
VLDLR-AS1	165
ENDOV	387
CCDC71L	1401
LINC00282	38
C5orf64	160
THAP7-AS1	47
EHMT1-IT1	141
ANKRD36BP2	3575
SLC25A3P1	0
KRT18P55	14
WEE2-AS1	328
NR2F1-AS1	505
LINC00982	3
LINC-PINT	1184
SPATA31D4	0
MROH5	1
SPATA31D5P	0
SPATA31D3	0
C5orf63	415
DICER1-AS1	847
GATA3-AS1	174
SPATA31D1	0
DMBT1P1	85
BAIAP2-AS1	762
FLNA	9042
FLNB	16037
FLNC	185
FLOT1	2454
FLOT2	1400
FLRT1	56
FLRT2	489
FLRT3	479
FLT1	5691
FLT3LG	38
FLT3	23
FLT4	485
FLVCR1	594
FLVCR2	92
FLYWCH1	674
FLYWCH2	362
FMN1	1548
FMN2	18
FMNL1	388
FMNL2	900
FMNL3	1177
FMO1	15
FMO2	2452
FMO3	425
FMO4	473
FMO5	1294
FMO6P	68
FMOD	16828
FMR1NB	2
FMR1	1617
FN1	9172
FN3KRP	366
FN3K	323
