GENE	Sample1
AFTPH	2720
C11orf96	1495
AGAP1	1216
AGAP2	65
AGAP3	890
AGAP6	1475
AGAP5	1070
AGA	184
AGBL1	2
AGBL2	31
AGBL3	124
AGBL4	340
AGBL5	399
AGER	65
AGFG1	5654
AGFG2	233
AGGF1	1572
AGK	853
AGL	1351
AGMAT	163
AGPAT1	677
AGPAT2	608
AGPAT3	1695
AGPAT4	147
AGPAT5	629
GPAT4	2230
GPAT3	62
HYKK	257
AGPS	563
AGR2	1304
AGR3	248
AGRN	3462
AGRP	0
AGTPBP1	612
AGTR1	39
AGTR2	0
AGTRAP	497
AGT	134
ETNPPL	4
PHYKPL	1283
AGXT2	6
AGXT	0
AHCTF1	11110
AHCYL1	2626
AHCYL2	1513
AHCY	1676
AHDC1	822
AHI1	3971
AHNAK2	1024
AHNAK	78324
AHRR	109
AHR	4311
AHSA1	1028
AHSA2	1463
AHSG	0
AHSP	0
AICDA	105
AIDA	6205
AIF1L	314
AIF1	68
AIFM1	870
AIFM2	394
AIFM3	18
AIG1	659
AIM1L	3
AIM1	1797
AIM2	47
AIMP1	806
AIMP2	57
AIPL1	147
AIP	713
AIRE	132
AJAP1	8
AK1	476
AK2	2625
AK4	2303
AK3	3040
AK5	193
AK7	80
AKAP10	1127
AKAP11	4883
AKAP12	3167
AKAP13	7755
AKAP14	3
AKAP1	1096
AKAP2	964
AKAP3	17
AKAP4	0
AKAP5	1049
AKAP6	172
AKAP7	258
AKAP8L	1051
AKAP8	964
AKAP9	13641
AK9	931
AKIRIN1	1913
AKIRIN2	282
AKNAD1	16
AKNA	1509
AKR1A1	1507
AKR1B10	50
AKR1B15	754
AKR1B1	211
AKR1C1	157
AKR1C2	150
AKR1C3	167
AKR1C4	4
AKR1C8P	8
AKR1D1	248
AKR1E2	321
AKR7A2	555
AKR7A3	136
AKT1S1	285
AKT1	4643
AKT2	1837
AKT3	981
AKTIP	548
ALAD	914
ALAS1	411
ALAS2	10
ALB	35
ALCAM	8529
ALDH16A1	739
ALDH18A1	4503
ALDH1A1	354
ALDH1A2	39
ALDH1A3	189
ALDH1B1	375
ALDH1L1	219
ALDH1L2	303
ALDH2	1119
ALDH3A1	190
ALDH3A2	1150
ALDH3B1	1229
ALDH3B2	18185
ALDH4A1	1198
ALDH5A1	467
ALDH6A1	936
ALDH7A1	870
ALDH8A1	108
ALDH9A1	2034
ALDOA	14209
ALDOB	6
ALDOC	65
ALG10B	1979
ALG10	479
ALG11	1255
ALG12	540
ALG13	2071
ALG14	105
ALG1L2	57
ALG1L	145
ALG1	1582
ALG2	694
ALG3	209
ALG5	410
ALG6	523
ALG8	3794
ALG9	824
ALKBH1	202
ALKBH2	121
ALKBH3	145
ALKBH4	196
ALKBH5	2505
ALKBH6	74
ALKBH7	387
ALKBH8	150
ALK	1
ALLC	0
ALMS1P1	135
ALMS1	5564
ALOX12B	12
ALOX12P2	64
ALOX12	94
ALOX15B	3977
ALOX15	15
ALOX5AP	74
ALOX5	225
ALOXE3	3
ALPI	0
ALPK1	4356
ALPK2	5
ALPK3	126
ALPL	186
ALPPL2	0
ALPP	48
ALS2CL	352
ALS2CR11	209
ALS2CR12	38
TMEM237	667
CARF	1103
ALS2	1486
ALX1	0
ALX3	16
ALX4	0
SLC35G5	7
SLC35G6	10
SLC35G3	3
AMACR	500
AMBN	0
AMBP	12
AMBRA1	749
AMD1	2188
AMDHD1	9
AMDHD2	102
AMELX	2
AMELY	0
AMFR	4338
AMHR2	0
AMH	291
JAML	49
AMIGO1	86
AMIGO2	123
AMIGO3	155
AMMECR1L	685
AMMECR1	742
AMN1	222
AMN	3
AMOTL1	1421
AMOTL2	1109
AMOT	6543
AMPD1	0
AMPD2	500
AMPD3	150
AMPH	345
AMTN	6
AMT	137
AMY1A	123
AMY2A	134
AMY2B	4359
AMZ1	90
AMZ2P1	158
AMZ2	680
ANAPC10	212
ANAPC11	209
ANAPC13	293
ANAPC16	2829
ANAPC1	2552
ANAPC2	535
ANAPC4	1000
ANAPC5	2616
ANAPC7	1093
ANGEL1	863
ANGEL2	3089
ANGPT1	89
ANGPT2	861
ANGPT4	5
ANGPTL1	1285
ANGPTL2	750
ANGPTL3	103
ANGPTL4	330
ANGPTL5	4
ANGPTL6	11
ANGPTL7	75
ANG	191
ANK1	12
ANK2	928
ANK3	4225
ANKAR	554
ANKDD1A	318
ANKFN1	12
ANKFY1	2847
ANKHD1-EIF4EBP3	1987
ANKHD1	7714
ANKH	1386
ANKIB1	2220
ANKK1	31
ANKLE1	1246
ANKLE2	1396
ANKMY1	1177
ANKMY2	402
ANKRA2	493
ANKRD10	7801
ANKRD11	2090
ANKRD12	4784
ANKRD13A	1746
ANKRD13B	79
ANKRD13C	1191
ANKRD13D	1661
ANKRD16	1610
ANKRD17	6261
ANKRD1	38
ANKRD20A3	993
ANKRD20A4	738
ANKRD22	134
ANKRD23	87
ANKRD24	25
ANKRD26	2221
ANKRD27	879
ANKRD28	4246
ANKRD29	125
ANKRD2	0
ANKRD30A	130657
ANKRD30B	16007
ANKRD31	26
SLF1	558
ANKRD33	0
ANKRD34A	72
ANKRD34B	1
ANKRD34C	2
ANKRD35	35
ANKRD36BP1	1191
ANKRD36B	6979
ANKRD36	7113
ANKRD37	462
ANKRD39	34
ANKRD40	1533
ANKRD42	569
SOWAHA	230
ANKRD44	668
ANKRD45	208
ANKRD46	597
ANKRD49	403
ANKRD50	6705
ANKRD52	1254
ANKRD53	11
ANKRD54	339
ANKRD55	2
SOWAHB	316
SOWAHC	396
SOWAHD	4
ANKEF1	982
ANKRD6	201
ANKRD7	3
ANKRD9	152
ANKS1A	1077
ANKS1B	1082
ANKS3	880
ANKS4B	267
ANKS6	227
ANKZF1	1671
ANLN	730
ANO10	1053
ANO1	433
ANO2	133
ANO3	5
ANO4	43
ANO5	356
ANO6	2728
ANO7	69
ANO8	481
ANO9	130
ANP32A	1513
ANP32B	668
ANP32D	9
ANP32E	436
ANPEP	43
ANTXR1	1597
ANTXR2	973
ANTXRL	0
ZFAND4	729
ANXA10	9
ANXA11	1996
ANXA13	0
ANXA1	788
ANXA2	9475
ANXA3	770
ANXA4	886
ANXA5	3918
ANXA6	3716
ANXA7	2135
ANXA8L1	2
ANXA8	17
ANXA9	218
AOAH	109
AOC2	77
AOC3	543
AOX1	2841
AP1AR	943
AP1B1	1611
AP1G1	2647
AP1G2	1226
AP1M1	403
AP1M2	894
AP1S1	332
AP1S2	587
AP1S3	832
AP2A1	1887
AP2A2	1471
AP2B1	9301
AP2M1	1816
AP2S1	268
AP3B1	2005
AP3B2	19
AP3D1	3154
AP3M1	1692
AP3M2	902
AP3S1	1185
AP3S2	1673
AP4B1	532
AP4E1	924
AP4M1	403
AP4S1	273
APAF1	1608
APBA1	178
APBA2	166
APBA3	253
APBB1IP	157
APBB1	221
APBB2	3265
APBB3	505
APC2	83
APCDD1L	8
APCDD1	164
APCS	0
APC	1912
APEH	1034
APEX1	668
APEX2	224
APH1A	2897
APH1B	865
API5	1519
APIP	437
APITD1	93
APLF	559
APLNR	418
APLN	23
APLP1	68
APLP2	4895
APOA1BP	1074
APOA1	1
APOA2	1
APOA4	0
APOA5	0
APOBR	135
APOBEC1	0
APOBEC2	30
APOBEC3A	108
APOBEC3B	24
APOBEC3C	66
APOBEC3D	366
APOBEC3F	811
APOBEC3G	221
APOBEC3H	10
APOBEC4	7
APOB	63
APOC1P1	0
APOC1	138
APOC4-APOC2	11
APOC3	0
APOC4	21
APOD	17442
APOE	1990
APOF	64
APOH	1
APOL1	1519
APOL2	920
APOL3	827
APOL4	1578
APOL5	1
APOL6	5957
APOLD1	1644
APOM	34
APOOL	626
APOO	149
APPBP2	1651
APPL1	3799
APPL2	1382
APP	14462
APRT	393
APTX	662
AQP10	0
AQP11	513
AQP12A	0
AQP12B	0
AQP1	6062
AQP2	14
AQP3	959
AQP4	26
AQP5	82
AQP6	133
AQP7	54
AQP8	0
AQP9	20
LVRN	58
AQR	2030
ARAF	713
ARAP1	820
ARAP2	1760
ARAP3	186
ARCN1	2750
ARC	3
AREG	1096
ARF1	9095
ARF3	3384
ARF4	2557
ARF5	1096
ARF6	2357
ARFGAP1	1226
ARFGAP2	797
ARFGAP3	3748
ARFGEF1	5810
ARFGEF2	6874
ARFIP1	1351
ARFIP2	2427
